transaction_id,sender_id,receiver_id,amount,timestamp
T0001,acc4,acc18,2270.95,2025-01-01 09:00:00
T0002,acc27,acc18,2781.74,2025-01-01 09:05:00
T0003,acc3,acc25,13451.43,2025-01-01 09:10:00
T0004,acc22,acc4,4075.59,2025-01-01 09:15:00
T0005,acc22,acc36,8411.53,2025-01-01 09:20:00
T0006,acc16,acc11,141.6,2025-01-01 09:25:00
T0007,acc28,acc50,2281.58,2025-01-01 09:30:00
T0008,acc39,acc25,1839.94,2025-01-01 09:35:00
T0009,acc21,acc47,11263.21,2025-01-01 09:40:00
T0010,acc3,acc6,16711.74,2025-01-01 09:45:00
T0011,acc9,acc2,7365.86,2025-01-01 09:50:00
T0012,acc28,acc37,11975.39,2025-01-01 09:55:00
T0013,acc31,acc3,19242.99,2025-01-01 10:00:00
T0014,acc22,acc34,20057.27,2025-01-01 10:05:00
T0015,acc14,acc39,16005.04,2025-01-01 10:10:00
T0016,acc37,acc21,412.45,2025-01-01 10:15:00
T0017,acc50,acc42,12867.53,2025-01-01 10:20:00
T0018,acc44,acc35,15995.0,2025-01-01 10:25:00
T0019,acc43,acc39,22263.45,2025-01-01 10:30:00
T0020,acc32,acc34,16744.91,2025-01-01 10:35:00
T0021,acc24,acc33,892.85,2025-01-01 10:40:00
T0022,acc49,acc42,4618.48,2025-01-01 10:45:00
T0023,acc6,acc32,16486.05,2025-01-01 10:50:00
T0024,acc11,acc22,8489.21,2025-01-01 10:55:00
T0025,acc26,acc5,18105.52,2025-01-01 11:00:00
T0026,acc25,acc37,19490.59,2025-01-01 11:05:00
T0027,acc2,acc13,14696.42,2025-01-01 11:10:00
T0028,acc41,acc24,419.44,2025-01-01 11:15:00
T0029,acc23,acc15,10202.4,2025-01-01 11:20:00
T0030,acc33,acc47,20619.86,2025-01-01 11:25:00
T0031,acc4,acc41,7263.79,2025-01-01 11:30:00
T0032,acc32,acc49,15786.77,2025-01-01 11:35:00
T0033,acc15,acc35,12146.91,2025-01-01 11:40:00
T0034,acc12,acc10,24799.75,2025-01-01 11:45:00
T0035,acc29,acc25,18816.09,2025-01-01 11:50:00
T0036,acc3,acc1,3454.72,2025-01-01 11:55:00
T0037,acc13,acc2,6483.42,2025-01-01 12:00:00
T0038,acc23,acc44,6871.05,2025-01-01 12:05:00
